nom,age,genre,ville,score_rh,decision
Rajae Tadlaoui,38,F,Oujda,48,Rejected
Salma Cherkaoui,55,F,Fès,43,Rejected
Aksil Tazi,26,H,Meknès,47,Rejected
Ahmed Ziani,55,H,El Jadida,83,Accepted
Zakaria Naciri,21,H,Agadir,53,Rejected
Anir Saidi,30,H,Meknès,85,Accepted
Tariq Belkhouche,45,H,Marrakech,77,Accepted
Sifaw Belkhouche,23,H,Béni Mellal,71,Accepted
Itri Doukkali,26,H,Laâyoune,45,Rejected
Ahmed Bouazza,25,H,Rabat,97,Accepted
Zineb Lamrani,26,F,Oujda,47,Rejected
Ahmed Achour,44,H,Agadir,68,Accepted
Rajae Mekouar,38,F,Fès,18,Rejected
Tanila Ouhammou,36,F,Agadir,44,Rejected
Salma El Ouafi,56,F,Oujda,23,Rejected
Mustapha El Guerrouj,24,H,Oujda,72,Accepted
Abdelkader Benkirane,25,H,Meknès,66,Accepted
Sifaw Bouazza,52,H,Mohammedia,69,Accepted
Khalid Filali,29,H,Oujda,76,Accepted
Ghilas Bennani,48,H,Taza,43,Rejected
Itri Berrada,53,H,Khouribga,75,Accepted
Tanila Lahlou,30,F,Agadir,44,Rejected
Amina El Idrissi,45,F,Mohammedia,58,Rejected
Karim Ameziane,56,H,Casablanca,91,Accepted
Ghilas Naciri,38,H,Salé,59,Rejected
Amine Ouhammou,50,H,Casablanca,86,Accepted
Tanila El Khattabi,32,F,Settat,16,Rejected
Massin Tazi,59,H,Meknès,65,Accepted
Laila Kettani,55,F,Settat,31,Rejected
Ayoub Tadlaoui,28,H,Nador,92,Accepted
Mehdi Bouazza,57,H,Fès,40,Rejected
Ayoub Ziani,55,H,Tanger,87,Accepted
Hicham Fassi Fihri,37,H,Settat,53,Rejected
Ahmed Filali,33,H,Tétouan,77,Accepted
Ayoub El Idrissi,49,H,Marrakech,44,Rejected
Abdelkader Soussi,22,H,Taza,42,Rejected
Hassan El Idrissi,21,H,Fès,67,Accepted
Idir Cherkaoui,23,H,Salé,62,Accepted
Anir Riffi,52,H,Meknès,84,Accepted
Saïd Doukkali,57,H,Khouribga,44,Rejected
Youssef Benjelloun,27,H,Marrakech,74,Accepted
Khadija El Amrani,47,F,Béni Mellal,18,Rejected
Ayoub El Ouafi,27,H,Rabat,99,Accepted
Abdelkader Jabri,33,H,Meknès,97,Accepted
Ayoub Sqalli,32,H,Kénitra,44,Rejected
Sifaw Doukkali,49,H,Laâyoune,99,Accepted
Khalid Cherkaoui,21,H,Fès,70,Accepted
Ayoub Benjelloun,52,H,Khouribga,42,Rejected
Adil El Guerrouj,45,H,Casablanca,58,Rejected
Mustapha El Khattabi,48,H,Laâyoune,66,Accepted
Sofia Ziani,39,F,Meknès,26,Rejected
Adil El Mansouri,24,H,Rabat,89,Accepted
Ayyur Mekouar,31,H,Rabat,48,Rejected
Zakaria Ziani,25,H,Errachidia,89,Accepted
Ismail El Fassi,57,H,Oujda,81,Accepted
Amazigh Bennani,47,H,Taza,86,Accepted
Karim Achour,41,H,Oujda,81,Accepted
Nawal Saidi,40,F,Béni Mellal,41,Rejected
Ismail Sqalli,57,H,Marrakech,63,Accepted
Saïd Riffi,29,H,Nador,97,Accepted
Hassan Ameziane,31,H,Béni Mellal,64,Accepted
Massin Naciri,54,H,Casablanca,68,Accepted
Saïd Hajji,29,H,Kénitra,95,Accepted
Massin Ouhammou,30,H,Kénitra,98,Accepted
Zakaria Bouazza,34,H,Kénitra,98,Accepted
Sifaw Bouzid,26,H,El Jadida,64,Accepted
Tariq Tadlaoui,29,H,Kénitra,64,Accepted
Meriem Ameziane,48,F,Laâyoune,20,Rejected
Amine Benali,30,H,Laâyoune,83,Accepted
